1303,   1303   		* 	1
1307,   1307   		* 	1
1319,   1319   		* 	1
1321,   1321   		* 	1
1327,   1327   		* 	1
1361,   1361   		* 	1
1367,   1367   		* 	1
1373,   1373   		* 	1
1381,   1381   		* 	1
1399,   1399   		* 	1
1409,   1409   		* 	1
1423,   1423   		* 	1
1427,   1427   		* 	1
1429,   1429   		* 	1
1433,   1433   		* 	1
1439,   1439   		* 	1
1447,   1447   		* 	1
1451,   1451   		* 	1
1453,   1453   		* 	1
1459,   1459   		* 	1
1471,   1471   		* 	1
1481,   1481   		* 	1
1483,   1483   		* 	1
1487,   1487   		* 	1
1489,   1489   		* 	1
1493,   1493   		* 	1
1499,   1499   		* 	1
1511,   1511   		* 	1
1523,   1523   		* 	1
1531,   1531   		* 	1
1543,   1543   		* 	1
1549,   1549   		* 	1
1553,   1553   		* 	1
1559,   1559   		* 	1
1567,   1567   		* 	1
1571,   1571   		* 	1
1579,   1579   		* 	1
1583,   1583   		* 	1
1597,   1597   		* 	1
1601,   1601   		* 	1
1607,   1607   		* 	1
1609,   1609   		* 	1
1613,   1613   		* 	1
1619,   1619   		* 	1
1621,   1621   		* 	1
1627,   1627   		* 	1
1637,   1637   		* 	1
1657,   1657   		* 	1
1663,   1663   		* 	1
1667,   1667   		* 	1
1669,   1669   		* 	1
1693,   1693   		* 	1
1697,   1697   		* 	1
1699,   1699   		* 	1
1709,   1709   		* 	1
1721,   1721   		* 	1
1723,   1723   		* 	1
1733,   1733   		* 	1
1741,   1741   		* 	1
1747,   1747   		* 	1
1753,   1753   		* 	1
1759,   1759   		* 	1
1777,   1777   		* 	1
1783,   1783   		* 	1
1787,   1787   		* 	1
1789,   1789   		* 	1
1801,   1801   		* 	1
1811,   1811   		* 	1
1823,   1823   		* 	1
1831,   1831   		* 	1
1847,   1847   		* 	1
1861,   1861   		* 	1
1867,   1867   		* 	1
1871,   1871   		* 	1
1873,   1873   		* 	1
1877,   1877   		* 	1
1879,   1879   		* 	1
1889,   1889   		* 	1
1901,   1901   		* 	1
1907,   1907   		* 	1
1913,   1913   		* 	1
1931,   1931   		* 	1
1933,   1933   		* 	1
1949,   1949   		* 	1
1951,   1951   		* 	1
1973,   1973   		* 	1
1979,   1979   		* 	1
1987,   1987   		* 	1
1993,   1993   		* 	1
1997,   1997   		* 	1
1999,   1999   		* 	1
2003,   2003   		* 	1
2011,   2011   		* 	1
2017,   2017   		* 	1
2027,   2027   		* 	1
2029,   2029   		* 	1
2039,   2039   		* 	1
2053,   2053   		* 	1
2063,   2063   		* 	1
2069,   2069   		* 	1
2081,   2081   		* 	1
2083,   2083   		* 	1
2087,   2087   		* 	1
2089,   2089   		* 	1
2099,   2099   		* 	1
